epoch,loss,accuracy,configuration,z_hidden_0,a_hidden_0,z_hidden_1,a_hidden_1,z_hidden_2,a_hidden_2
0,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3104804479427074,0.42299747130908705,-0.02497661108465074,0.49375617181664677,-0.48027858942350776,0.3821863425535275
1,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.31252210622780924,0.42249924102612657,-0.04920311319598452,0.48770170272738766,-0.4870210127734642,0.38059559158104694
2,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3145643519684862,0.42200102509827453,-0.07304146580900141,0.48174774755829286,-0.4935953235341026,0.3790469678030504
3,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3166016743886512,0.4215041683639352,-0.0964831129903409,0.47589791602594556,-0.4999935809318278,0.37754217730418055
4,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3186279398910839,0.4210101657587122,-0.11952000452443448,0.4701555178604982,-0.5062081090422388,0.3760828531006479
5,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.32063648568084696,0.42052063924990085,-0.1421445384751119,0.4645235789059503,-0.5122315811783433,0.3746705366871744
6,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.32262021395334695,0.4200373146934351,-0.16434951858146846,0.45900485469111446,-0.5180570952211926,0.3733066619227373
7,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3245716868012258,0.4195619985809818,-0.1861281287987594,0.4536018407715747,-0.5236782398022771,0.3719925412305932
8,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.32648322178725026,0.4190965546943144,-0.2074739263161497,0.4483167794227134,-0.5290891515309016,0.37072935402057455
9,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.32834698783968647,0.4186428807534749,-0.2283808533102099,0.4431516625621846,-0.5342845636298656,0.36951813720238974
10,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3301551008003724,0.4182028852228425,-0.24884326659590095,0.43810823107623176,-0.5392598464059556,0.3683597776455877
11,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.33189971764095766,0.41777846451364875,-0.2688559832887387,0.4331879709974167,-0.5440110399573638,0.3672550064500089
12,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3335731281008748,0.4173714808827813,-0.2884143396638153,0.4283921072130051,-0.5485348794361945,0.3662043949131
13,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.33516784232320124,0.4169837413683457,-0.3075142596519591,0.42372159555824507,-0.5528288130726509,0.36520835210976577
14,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3366766729913142,0.4166169781178412,-0.32615232889929996,0.4191771142566343,-0.556891013059392,0.3642671240291704
15,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.33809281050691564,0.4162728304534749,-0.34432587006446114,0.41475905570513194,-0.5607203793159646,0.3633807942350006
16,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3394098898931256,0.41595282898262304,-0.36203301504723495,0.4104675195671585,-0.5643165361221707,0.36254928602705205
17,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3406220483390563,0.4156583820037279,-0.379272770122098,0.40630230803679573,-0.5676798216342268,0.3617723660806671
18,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.34172397260118664,0.4153907643847749,-0.3960450704574816,0.40226292398532515,-0.5708112703775493,0.36104964952680385
19,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3427109358143655,0.4151511090096535,-0.41235082118915084,0.39834857251107814,-0.5737125889357245,0.36038060641146735
20,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3435788236130119,0.4149404008040256,-0.4281919230240181,0.3945581662024078,-0.576386125211524,0.35976456944229185
21,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3443241497949793,0.41475947327305374,-0.4435712812149053,0.3908903342084823,-0.578834831804456,0.359200742896295
22,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3449440620552103,0.41460900741355183,-0.4584927976041565,0.38734343500922586,-0.58106222421172,0.3586882125303351
23,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.345436338558462,0.4144895328063754,-0.4729613462285509,0.3839155725970455,-0.5830723346991349,0.35822595630816856
24,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.3457993763014817,0.414401430653088,-0.48698273366491734,0.3806046156383785,-0.5848696627930889,0.3578128557379369
25,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.346032172332834,0.41434493849453524,-0.5005636458443798,0.3774082190780246,-0.5864591234061068,0.35744770760301603
26,0.3365111434370548,0.125,sigmoid_sigmoid_mean_squared_error,-0.34613429895632064,0.4143201563370162,-0.5137115834571712,0.3743238475852491,-0.5878459936245609,0.35712923586795214
