epoch,loss,accuracy,configuration,z_hidden_0,a_hidden_0,z_hidden_1,a_hidden_1,z_hidden_2,a_hidden_2
0,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9369147526918365,0.28152396922533873,-0.21322488089755842,0.446894829032441,0.3617589850863142,0.5894661679580705
1,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9405289840166954,0.2807935026625071,-0.2138848561896427,0.4467317021680086,0.36172526213664435,0.5894580071211042
2,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9440632331484199,0.2800803195779528,-0.2145196079443976,0.446574820654526,0.36169452273131447,0.5894505682486323
3,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.947520090630442,0.27938382515464233,-0.21513038259799794,0.44642387522470584,0.36166638507034515,0.5894437589570495
4,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9509020418951815,0.27870345025310167,-0.21571836405713432,0.44627857218406475,0.3616404962228565,0.5894374938462659
5,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9542114713129736,0.2780386502984913,-0.2162846768537483,0.4461386326201421,0.36161652992333065,0.5894316939669477
6,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9574506662097239,0.277388904193494,-0.2168303891748295,0.44600379164360865,0.36159418453246606,0.5894262863274845
7,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9606218208277973,0.2767537132611141,-0.21735651576454768,0.44587379766185176,0.36157318115204107,0.5894212034381394
8,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9637270402098927,0.27613260022042657,-0.21786402069780092,0.4457484116851823,0.3615532618834877,0.5894163828899064
9,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9667683439901094,0.2755251081974275,-0.21835382002571008,0.44562740666546086,0.36153418822024413,0.5894117669656832
10,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9697476700801618,0.2749307997724062,-0.2188267842947405,0.44551056686665613,0.36151573956438704,0.5894073022814709
11,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9726668782418566,0.2743492560646542,-0.21928374094202682,0.4453976872666379,0.3614977118585157,0.5894029394554252
12,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9755277535395714,0.2737800758548343,-0.21972547657016286,0.4452885729893395,0.36147991632435517,0.5893986328027018
13,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9783320096686716,0.2732228747449338,-0.22015273910522998,0.4451830387663028,0.36146217830004956,0.5893943400541581
14,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9810812921576,0.2726772843554073,-0.22056623984220128,0.4450809084265385,0.36144433616861915,0.5893900220970956
15,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9837771814428565,0.2721429515588618,-0.22096665538210894,0.4449820144135679,0.361426240370551,0.5893856427363453
