nodeID,nodeUserID,nodeTime,actionType,videoID,platform
548542|1619699981462385,548542,2018-04-01 10:22:08,post,VLMOHhKkrX8,facebook
5465518|1679734395397774,5465518,2018-04-05 00:04:00,post,OBkn78q_t_Q,facebook
6119363|1782014748487422,6119363,2018-04-05 07:12:02,post,3wj4ncIEDxw,facebook
8621215|1596340410441820,8621215,2018-04-05 18:22:26,post,3wj4ncIEDxw,facebook
12041680|2070852329860194,12041680,2018-04-08 15:08:50,post,mvD7qhDwljs,facebook
10246413|1496241080498746,10246413,2018-04-08 15:09:17,post,mvD7qhDwljs,facebook
10210977|1868720533158638,10210977,2018-04-08 15:37:13,post,mvD7qhDwljs,facebook
10866419|2166692520022644,10866419,2018-04-08 15:56:45,post,mvD7qhDwljs,facebook
10251753|1368337423313111,10251753,2018-04-08 15:57:49,post,mvD7qhDwljs,facebook
19191146|1627392487368201,19191146,2018-04-08 16:02:03,post,mvD7qhDwljs,facebook
8998558|774184222789285,8998558,2018-04-08 16:03:06,post,mvD7qhDwljs,facebook
8550625|1639199452843488,8550625,2018-04-08 16:25:09,post,OBkn78q_t_Q,facebook
10136244|2063202933893421,10136244,2018-04-08 16:29:16,post,mvD7qhDwljs,facebook
8468006|993834727448752,8468006,2018-04-09 03:12:42,post,OI3-0xIcvgI,facebook
2904736|1454993594604495,2904736,2018-04-09 06:10:43,post,Jq4LEIO740A,facebook
16742090|2251254398225612,16742090,2018-04-09 11:22:28,post,Jq4LEIO740A,facebook
6726876|1688640034515902,6726876,2018-04-09 18:05:12,post,qtz76-SRX9k,facebook
18723148|2021830967831397,18723148,2018-04-09 22:06:55,post,H4b49ozKeWs,facebook
3430434|10156370850499797,3430434,2018-04-09 22:35:46,post,qT6IagQ7xos,facebook
15951534|2091564284434131,15951534,2018-04-10 10:02:11,post,o5ZeRxyc4h0,facebook
8504398|1676354769099646,8504398,2018-04-10 16:22:57,post,3vNwe7yKbwo,facebook
10935660|2035730496746668,10935660,2018-04-10 17:55:49,post,3vNwe7yKbwo,facebook
8941976|2041514669453876,8941976,2018-04-10 18:09:07,post,3vNwe7yKbwo,facebook
8490828|968937163284808,8490828,2018-04-10 18:37:56,post,8LnVHw96jFs,facebook
3314040|1636426396410582,3314040,2018-04-11 11:48:11,post,DvTx_EjHf5E,facebook
3050393|1061289374022386,3050393,2018-04-11 11:49:04,post,DvTx_EjHf5E,facebook
6689220|2262758600402830,6689220,2018-04-11 16:20:43,post,3vNwe7yKbwo,facebook
2418369|2107017256210464,2418369,2018-04-11 16:26:59,post,3vNwe7yKbwo,facebook
3419028|158088051551098,3419028,2018-04-11 17:03:34,post,3vNwe7yKbwo,facebook
6902438|2018988158426675,6902438,2018-04-11 20:50:11,post,UxJ4NhvHOb0,facebook
2134208|575753106139765,2134208,2018-04-11 21:55:19,post,3vNwe7yKbwo,facebook
1612933|1347336295368579,1612933,2018-04-11 22:42:13,post,DvTx_EjHf5E,facebook
1977501|1836395483066670,1977501,2018-04-12 09:12:14,post,pbe97rPRbWc,facebook
3314049|1429605333807763,3314049,2018-04-12 09:43:08,post,DvTx_EjHf5E,facebook
10126184|1664160963620124,10126184,2018-04-12 11:46:29,post,3vNwe7yKbwo,facebook
11274115|924966574328925,11274115,2018-04-12 11:51:12,post,3vNwe7yKbwo,facebook
4949669|1900956083268016,4949669,2018-04-12 11:55:44,post,3vNwe7yKbwo,facebook
10260291|1614867075257795,10260291,2018-04-12 13:36:19,post,wV75b-j2vIQ,facebook
11264293|855878457906587,11264293,2018-04-12 15:24:52,post,ijXYoBTHues,facebook
13013118|1866640736720556,13013118,2018-04-12 15:34:24,post,3vNwe7yKbwo,facebook
2871157|1589360277844468,2871157,2018-04-12 19:28:57,post,9M9PtP5x6fE,facebook
8112678|2125001444399018,8112678,2018-04-12 19:59:35,post,SvjTeuSKTW0,facebook
8112678|2125121607720335,8112678,2018-04-13 01:52:26,post,R6utDs1b_TU,facebook
2755520|2137818046258407,2755520,2018-04-13 06:45:51,post,EaREJpFHD_Q,facebook
8996186|607407546266311,8996186,2018-04-13 13:51:43,post,J2mWdvgCOqs,facebook
11771046|387957735015885,11771046,2018-04-13 16:52:59,post,ZNV1_ZGfQrc,facebook
10242319|158613581487374,10242319,2018-04-13 19:42:10,post,pbe97rPRbWc,facebook
8994062|2085737388377440,8994062,2018-04-13 21:05:46,post,3vNwe7yKbwo,facebook
5652145|2152550538312083,5652145,2018-04-13 23:15:07,post,NQL3rX6xWRg,facebook
17948826|2014666245215029,17948826,2018-04-14 01:30:00,post,qtz76-SRX9k,facebook
11383437|1530853500377443,11383437,2018-04-14 02:21:29,post,sBmWe5FnSCc,facebook
4662063|784552668403744,4662063,2018-04-14 04:44:27,post,5k6hSS6xBTw,facebook
4662063|784560418402969,4662063,2018-04-14 05:21:47,post,5k6hSS6xBTw,facebook
8321456|1978451532167554,8321456,2018-04-14 05:52:30,post,SvjTeuSKTW0,facebook
1966996|1829068140732476,1966996,2018-04-14 05:53:41,post,sBmWe5FnSCc,facebook
10130074|1637533149693627,10130074,2018-04-14 05:53:41,post,SvjTeuSKTW0,facebook
8526179|1328681987276373,8526179,2018-04-14 06:05:45,post,SvjTeuSKTW0,facebook
1627316|2071361202925934,1627316,2018-04-14 08:04:00,post,wV75b-j2vIQ,facebook
15696356|1868415939844582,15696356,2018-04-14 09:56:09,post,jNIp1lZwJts,facebook
1967480|1662679207151156,1967480,2018-04-14 10:40:21,post,sBmWe5FnSCc,facebook
2893499|1756864927693190,2893499,2018-04-14 11:00:01,post,R6utDs1b_TU,facebook
1627316|2071363642925690,1627316,2018-04-14 11:07:00,post,NQL3rX6xWRg,facebook
8995570|186859492112838,8995570,2018-04-14 17:44:37,post,Jq4LEIO740A,facebook
3431648|2118641531757674,3431648,2018-04-14 17:54:21,post,8ypVX_8jqms,facebook
8523728|2125702850994502,8523728,2018-04-14 18:29:28,post,wV75b-j2vIQ,facebook
5642601|2169783823257754,5642601,2018-04-14 18:31:21,post,5k6hSS6xBTw,facebook
12288415|594436920897239,12288415,2018-04-14 21:14:30,post,b8bIupYSZeU,facebook
6115940|2027565197508906,6115940,2018-04-14 22:07:01,post,sBmWe5FnSCc,facebook
7653103|817228371799906,7653103,2018-04-14 22:07:28,post,sBmWe5FnSCc,facebook
8551138|1610550589000353,8551138,2018-04-14 22:35:24,post,3vNwe7yKbwo,facebook
7865751|1304987882935632,7865751,2018-04-14 22:35:35,post,3vNwe7yKbwo,facebook
7655119|803721293146871,7655119,2018-04-14 22:35:50,post,3vNwe7yKbwo,facebook
6874844|1685517991541963,6874844,2018-04-15 00:44:27,post,J2mWdvgCOqs,facebook
6874922|1700029556749050,6874922,2018-04-15 00:46:42,post,J2mWdvgCOqs,facebook
7653508|1517823524992784,7653508,2018-04-15 00:47:34,post,J2mWdvgCOqs,facebook
7652333|1360497167427781,7652333,2018-04-15 00:50:00,post,J2mWdvgCOqs,facebook
10126184|1666627106706843,10126184,2018-04-15 00:53:23,post,J2mWdvgCOqs,facebook
1966996|1829430724029551,1966996,2018-04-15 00:58:31,post,J2mWdvgCOqs,facebook
16271437|1698449806858456,16271437,2018-04-15 02:34:15,post,J2mWdvgCOqs,facebook
3629724|1798647480196922,3629724,2018-04-15 02:49:42,post,HZBxfFyZOUg,facebook
13181188|697390153985551,13181188,2018-04-15 03:14:35,post,tvVaG10AEI0,facebook
2292688|1377895658978282,2292688,2018-04-15 06:34:51,post,tvVaG10AEI0,facebook
1627316|2071362372925817,1627316,2018-04-15 09:06:00,post,hZmY9YDqsgU,facebook
12913946|226320114588126,12913946,2018-04-15 09:08:38,post,sBmWe5FnSCc,facebook
2628838|1773538926087740,2628838,2018-04-15 09:44:23,post,tvVaG10AEI0,facebook
780744|1645674578815383,780744,2018-04-15 09:48:57,post,3HCFol7g-FU,facebook
2374930|1618393931611997,2374930,2018-04-15 11:19:22,post,3vNwe7yKbwo,facebook
2374930|1618394344945289,2374930,2018-04-15 11:19:44,post,3vNwe7yKbwo,facebook
4100037|1971504969589530,4100037,2018-04-15 11:31:13,post,tvVaG10AEI0,facebook
8523286|1876878295720736,8523286,2018-04-15 12:44:23,post,sBmWe5FnSCc,facebook
6640419|1679365672171552,6640419,2018-04-15 13:57:39,post,tvVaG10AEI0,facebook
8993327|2045947335623950,8993327,2018-04-15 14:20:33,post,3vNwe7yKbwo,facebook
1953463|1576283985753830,1953463,2018-04-15 14:59:18,post,_Bj5VLVscko,facebook
10127500|698175093906739,10127500,2018-04-15 15:03:14,post,tvVaG10AEI0,facebook
8995570|187283752070412,8995570,2018-04-15 15:04:10,post,tvVaG10AEI0,facebook
8116421|2033437793572139,8116421,2018-04-15 15:43:21,post,tvVaG10AEI0,facebook
7652449|887407311383898,7652449,2018-04-15 18:39:13,post,tvVaG10AEI0,facebook
2904736|1461034210667100,2904736,2018-04-15 19:31:42,post,sBmWe5FnSCc,facebook
5480827|1886015644776766,5480827,2018-04-15 20:02:56,post,3vNwe7yKbwo,facebook
2392561|1665950256857066,2392561,2018-04-15 20:24:41,post,tvVaG10AEI0,facebook
8112657|1684715791564354,8112657,2018-04-15 21:53:34,post,NQL3rX6xWRg,facebook
8993613|2239152086126863,8993613,2018-04-15 22:40:52,post,3vNwe7yKbwo,facebook
6119363|1792879844067579,6119363,2018-04-15 22:52:23,post,3wj4ncIEDxw,facebook
12609960|1788348414557971,12609960,2018-04-15 23:11:47,post,lC7ZxdFzdzQ,facebook
8995214|10157308933944746,8995214,2018-04-15 23:24:39,post,3vNwe7yKbwo,facebook
