videoID,video_channel,nodeTime
Zd6bAEMu5Yk,twotwo30Productions,2006-09-22 21:10:44
VU3RHNLzh-I,معاٌ لدعم الدفاع المدني السوري,2014-06-19 10:29:28
tdFHNE8WxOA,ZFront Kharkov UA,2014-07-08 14:28:21
12irnW4FNFY,ODN,2014-07-12 10:25:05
6h0VDhENotI,The Syria Campaign,2014-08-27 12:33:36
LaHBKCUOS3I,The Syria Campaign,2014-08-27 12:34:19
lE-IhXUoAs8,Amjad Wardeh,2014-09-20 10:04:19
sw3NMEyMSTw,The Syria Campaign,2014-11-14 08:45:47
_qRJ7MWy3cQ,CNN,2015-05-22 02:35:00
5k6hSS6xBTw,vanessa beeley,2016-04-29 16:22:30
8aAaReVn2I4,HANDS OFF SYRIA,2016-04-30 05:53:33
Hc_qNwNuLBo,SyrianGirlpartisan,2016-05-05 19:40:34
2ChDjzVL434,"Islam Shia, Español",2016-05-07 18:13:10
mbSpxV6um2o,Gianmarco Ienco,2016-05-09 15:44:29
hnY2hlo0x_M,SyrianGirl War,2016-05-10 19:53:02
HHVMi1i0uCk,UK Column,2016-05-20 09:48:26
vDahN6tv1dA,الدفاع المدني السوري - حلب,2016-05-25 13:46:22
_bcNDAK7GNs,BBC News,2016-06-23 09:17:37
EG6gb31VJHA,Alternative View,2016-06-24 20:04:12
D29J_MqDRBs,TyrannyUnmasked,2016-08-04 00:07:15
0set3MBuXZY,Lars Birkelund,2016-08-10 12:50:37
CROsiG3dtNE,Newsy,2016-08-14 13:37:53
ueuLxyk_mzk,Portal Puyengan,2016-08-21 01:00:39
Zz-FXN9UzLM,Monastery of Mar Yakub in Syria,2016-08-30 05:39:04
3wj4ncIEDxw,Netflix,2016-09-07 12:00:06
4oQTWn1JfeA,HANDS OFF SYRIA,2016-09-14 23:30:38
wh9SZm6Mojk,Naivan Man,2016-09-16 13:14:12
H4b49ozKeWs,Hamza - Slay Your Dragon,2016-09-19 04:00:24
I26iZhyhink,NowThis World,2016-09-22 12:00:03
rBIC-wrAOGQ,BBC News,2016-09-26 16:59:37
ktUjNYqFrDM,AtlanticCouncil,2016-09-27 17:20:31
L04-Ag0z3DM,CNN,2016-09-30 18:50:29
G-1WTsUOeNo,Pascal Hanrion,2016-10-02 16:18:08
ycNy9IYNPUU,ODN,2016-10-03 18:05:38
oMuBn-Pmq70,WrongKindofGreen,2016-10-06 16:02:00
k_bObdZhqyE,RT,2016-10-07 13:05:52
LjHw-CoO6tc,Hamza - Slay Your Dragon,2016-10-07 13:14:01
SgGNzj6rKqI,RT,2016-10-07 17:44:00
xLOw6-VDWyA,AwakeForSyria,2016-10-10 09:45:28
qIlgPOoKgpo,Ripsonar News,2016-10-11 20:58:19
a3Ga9-s-L0Q,Democracy Now!,2016-10-13 16:27:08
ZDhGj8KmMPw,Syria Civil Defence - The White Helmets,2016-10-14 06:50:47
DnnGFgeSoOY,Σίμος Δαλκυριάδης,2016-10-16 08:53:15
ijXYoBTHues,RT,2016-10-19 20:59:20
z4S5i-N9Z90,TyrannyUnmasked,2016-10-19 21:00:12
9CrpTzU15IA,Hamza - Slay Your Dragon,2016-10-22 03:27:26
MSH8pWi0gR0,The Finest,2016-11-05 12:00:02
EFkoPLEV6wA,BBC News,2016-11-09 03:30:41
H16L0p9Dp1k,TEDx Talks,2016-11-18 15:31:57
9rOL7fYyRQo,AwakeForSyria,2016-11-21 16:43:35
AfWiZ8ksD6s,Alternative Narrative,2016-11-21 17:34:13
_qu09EbHvHw,MoonofA,2016-11-21 18:11:17
KJapkgOJp24,"Faruk, Bughaba",2016-11-21 19:49:48
3HCFol7g-FU,HANDS OFF SYRIA,2016-11-22 00:22:01
33seCVRvuwQ,Real World News,2016-11-22 20:42:24
b8bIupYSZeU,RT,2016-11-23 00:37:49
ytpt4sgoxYI,RT,2016-11-25 14:31:42
NOOmEmZO2u8,Darry M,2016-11-26 20:53:31
9EyGQ9Ijozw,Ricky Spanish,2016-11-27 10:32:32
xjTsBiqfLOE,Francesco Abbruzzino w The Scoop,2016-11-28 20:19:57
rC971Xor3sk,In His Grace,2016-12-14 05:46:24
R6utDs1b_TU,Covert Geopolitics,2016-12-14 16:41:12
ePwLzxad-9A,Israeli News Live,2016-12-15 10:28:31
n6OhFiiI0a8,RT en Español,2016-12-15 18:28:17
J2mWdvgCOqs,Real World News,2016-12-15 23:56:36
F7jl8Y3gEWE,Angela Mills-Watson,2016-12-17 01:50:39
K_2lZqdIbz4,Darry M,2016-12-19 12:02:16
OA0wvsJ_68A,SartorialGirl,2016-12-20 20:41:56
xjPpREHEF1Y,vanessa beeley,2016-12-29 06:58:39
T-66GeoMRW0,Parco Lee,2016-12-30 05:51:37
wRWCx4WHW-0,Al-Masdar Español,2017-01-08 23:18:44
zxH-eWVltXA,Saleh Ali,2017-01-09 07:35:19
PnxSs0KQZJI,Andréi Kononov,2017-01-10 18:56:51
BCmWtFbLmnI,The Fing News,2017-01-11 21:54:07
3EcQrxFy4-M,vanessa beeley,2017-01-17 18:40:03
Es7oBV6b43Y,HANDS OFF SYRIA,2017-01-19 21:14:28
tWvMg0xs_dE,Wasfi Massarani,2017-01-20 18:22:08
UxJ4NhvHOb0,Dajjal Magazine,2017-01-21 19:30:40
_CU-d0PtKMo,Al Mayadeen Programs,2017-01-22 19:40:51
OBkn78q_t_Q,vanessa beeley,2017-01-23 05:20:24
-x43bHlPj10,The Truth Is From God,2017-01-26 13:12:39
fl2GLhevruQ,vanessa beeley,2017-02-12 23:09:53
jEsXdal_r6Y,Marco Glowatzki,2017-02-14 12:06:24
92BqudFKwKs,vanessa beeley,2017-02-16 16:52:07
gVmHETENwvo,Syria Civil Defence - The White Helmets,2017-02-20 10:33:48
NOda2UnQuYg,TyrannyUnmasked,2017-02-25 23:30:59
iQb3W4u1JS8,Caleb Stephen,2017-02-26 13:55:36
EJ5uFsEMLGw,Variety,2017-02-27 06:50:35
Rf5e8OCyKZU,RT UK,2017-02-27 12:55:01
L2kjHAHFBA4,RT en Español,2017-02-27 16:09:29
6fTvKrxZuCc,Existentialism.syrian,2017-02-27 19:52:07
wPF2FzDUY0s,RT America,2017-02-27 23:23:44
5OtT5jv7DA8,Curious Bel,2017-02-28 03:11:54
eU1_Ceml-Kw,wil soden,2017-03-02 11:16:48
2-uUOv7UCkQ,Acts17Apologetics,2017-03-03 04:32:29
2iTLm_Bj18Q,Tele Orient,2017-03-06 13:55:37
3GXz9ww7JY4,THE INDICTER Channel,2017-03-06 14:09:10
ijcA3LCKCl0,UK Column News,2017-03-08 19:52:29
q-L429iDtvY,RTQuestionMore,2017-03-09 11:25:27
ZWxQHPwoNMk,Bertrand Riviere,2017-03-11 11:36:05
tseqwNIXhDQ,vanessa beeley,2017-03-11 16:09:11
uy-n2IaA1lM,Music for Peace,2017-03-19 17:18:16
mBxgZot3U74,RT,2017-03-20 20:40:35
J5ivyaEm7Oo,Clarity Of Signal,2017-03-25 22:50:05
xR1Vs5fZltY,Ork Diktator,2017-03-26 16:20:34
_Nrn7paN6nI,vanessa beeley,2017-04-01 13:47:35
Qan6JmHv474,ED Kottner,2017-04-05 11:27:06
RHdY8oeK5ys,Matthew North,2017-04-06 19:45:07
ShmRaDTu3co,Zuroya Chanel,2017-04-07 20:34:36
nJsN9F6XSMY,Habib AbouAkil,2017-04-09 09:45:16
UCHZQ2kNL7g,Matthew North,2017-04-10 23:53:34
H83kWBC2abY,SocialTv Network,2017-04-11 00:41:46
sjp7c_6xjqs,Der Ermittler,2017-04-12 10:54:02
hZmY9YDqsgU,VideoFlix,2017-04-14 20:46:53
hegjw-_J5JU,euronews (in English),2017-04-15 21:17:09
0QfwJ_PyiaU,Extraterrestrial Laboratory,2017-04-17 12:54:02
YIa2v8vlTlg,Non Mirage Truth Vision,2017-04-20 22:20:12
puWcNL8xy3Q,fake.net,2017-04-27 11:30:39
WSBvd9i_jAs,vanessa beeley,2017-05-03 07:14:57
r4JFcB-sHv8,vanessa beeley,2017-05-05 06:31:08
bSl1wT6Q0Lg,vanessa beeley,2017-05-05 08:40:50
W8Kj2gk1ufA,Citizen Truth,2017-05-10 02:22:12
hoXr3lvoyc4,vanessa beeley,2017-05-15 07:33:18
X27B0yuazGo,vanessa beeley,2017-05-26 11:25:08
CJ3KfEdTT3Y,CGTN,2017-06-20 15:59:08
8TKr4gfR8wM,Red Shark Intelligence,2017-06-23 23:03:45
DPgOnD0n9uw,SAA Soldier,2017-06-24 09:27:44
9hRy7BPWooo,RT,2017-06-24 13:45:49
RrH40nCcjwE,Wednesdayy,2017-06-28 21:22:43
LOEbAji9AXI,vanessa beeley,2017-07-02 08:46:31
BNHTOcD-lbY,TEXAS LIBERTY ADVOCATE NETWORK ACTION,2017-07-03 00:59:26
